Date,Price,Open,High,Low,Vol.,Change %
05/15/2014,183.53,180,185.73,180,320.90K,1.87%
05/14/2014,180.16,180,181.4,180,20.00K,-0.27%
05/13/2014,180.65,180.02,182,180,39.00K,-0.17%
05/12/2014,180.96,181.11,182,180,17.30K,-0.56%
05/09/2014,181.98,183.5,186,180.15,67.20K,-2.58%
05/08/2014,186.79,180.01,187.5,179.8,183.90K,3.42%
05/07/2014,180.61,182,182.5,179.2,48.70K,0.14%
05/06/2014,180.35,181.75,183,180,24.40K,-2.05%
05/05/2014,184.13,184.05,185,179,140.00K,-0.58%
05/02/2014,185.21,184.7,187.9,183.01,203.90K,0.27%
04/30/2014,184.72,184.8,185.5,183.05,126.00K,-0.07%
04/29/2014,184.85,187,187,181.01,265.10K,-0.71%
04/28/2014,186.17,188,190,185.12,184.20K,-1.43%
04/25/2014,188.88,184.5,191,183.01,761.70K,2.13%
04/24/2014,184.94,182.5,186,182.1,294.30K,0.43%
04/23/2014,184.14,188.01,190.98,183.5,247.80K,-2.64%
04/22/2014,189.14,184.48,190.5,184.47,739.60K,3.39%
04/21/2014,182.94,185.02,186.2,182.49,110.60K,-2.31%
04/18/2014,187.27,192.15,195.15,185.5,110.50K,-2.52%
04/17/2014,192.11,192.19,195.6,183.01,1.24M,0.08%
04/16/2014,191.96,190.5,196.5,190.5,935.70K,1.42%
04/15/2014,189.28,182.44,182,179.02,1.24M,4.63%
04/14/2014,180.9,180.5,182,179.02,63.20K,-0.10%
04/11/2014,181.09,181.32,183.5,179.75,240.30K,-0.64%
04/10/2014,182.25,178.42,187,178,476.30K,2.32%
04/09/2014,178.12,177,179.5,177,88.30K,-0.18%
04/08/2014,178.44,178,182,176,239.60K,0.71%
04/07/2014,177.18,176,178,175.5,83.20K,0.27%
04/04/2014,176.7,176.6,178,174.5,256.50K,-0.73%
04/03/2014,178,178.6,180,176,489.00K,0.42%
04/02/2014,177.25,180,180,176.85,147.20K,0.97%
04/01/2014,175.55,173.11,177,173,163.40K,0.71%
03/31/2014,174.31,168.5,175.25,168.5,430.60K,2.44%
03/28/2014,170.15,171,172,169.01,307.10K,-0.47%
03/27/2014,170.96,168.11,174.01,168.11,719.60K,1.70%
03/26/2014,168.1,164.4,170.02,162.2,292.20K,3.62%
03/25/2014,162.22,161.45,163.89,158.98,215.00K,1.28%
03/24/2014,160.17,163.5,164,159,103.80K,-2.34%
03/21/2014,164.01,157,164.5,157,164.60K,0.28%
03/20/2014,163.56,162.96,164.09,160.91,378.84K,0.66%
03/19/2014,162.48,162.77,164.17,160.45,171.05K,0.24%
03/18/2014,162.09,165,166.36,161.14,264.33K,-2.47%
03/17/2014,166.19,165.91,168.64,164.55,187.99K,0.69%
03/14/2014,165.05,166.18,166.36,164.55,45.65K,-0.76%
03/13/2014,166.32,166.82,166.82,164.77,169.18K,-0.44%
03/12/2014,167.05,166.91,167.5,165.45,254.65K,-0.08%
03/11/2014,167.19,169.55,170,166.82,168.30K,-1.44%
03/10/2014,169.63,167.73,170.2,165.32,855.91K,1.31%
03/07/2014,167.44,164.45,168.55,161.86,536.36K,2.25%
03/06/2014,163.75,156.82,164.61,156.45,955.35K,4.45%
03/05/2014,156.77,154.55,158.18,153.55,381.26K,0.91%
03/04/2014,155.35,151.82,156.36,150.23,729.30K,2.34%
03/03/2014,151.8,147.55,154.77,146.82,382.58K,2.88%
02/28/2014,147.55,145.45,147.73,145.45,70.18K,0.95%
02/27/2014,146.16,142.73,147.28,141.82,244.86K,2.57%
02/26/2014,142.5,144.18,144.55,142.27,33.33K,-1.22%
02/25/2014,144.26,145.86,145.86,143.73,15.84K,-1.33%
02/24/2014,146.21,146.36,147.18,145.82,11.11K,0.24%
02/21/2014,145.86,145,147.23,145,11.66K,-0.27%
02/20/2014,146.25,147.27,148.18,144.74,24.20K,-0.36%
02/19/2014,146.78,145.45,148.09,144.73,73.92K,1.01%
02/18/2014,145.31,145.45,147.27,143.64,28.16K,0.03%
02/17/2014,145.26,147.27,147.73,144.55,45.43K,-1.98%
02/14/2014,148.19,148.18,148.91,147.45,37.29K,0.16%
02/13/2014,147.95,149.55,150.27,146.82,70.29K,-0.84%
02/12/2014,149.2,150.45,154.45,148.64,300.52K,-0.15%
02/11/2014,149.42,148.27,151.82,148.27,44.99K,0.95%
02/10/2014,148.02,150.14,150.14,146.36,39.38K,-1.33%
02/07/2014,150.01,150.91,151.82,149.55,39.49K,-1.06%
02/06/2014,151.62,150.55,151.82,149.55,63.58K,1.42%
02/04/2014,149.5,152.27,152.27,149.12,57.64K,-1.39%
02/03/2014,151.6,150.01,152.73,149,260.48K,0.84%
01/31/2014,150.33,150.19,152.32,149.99,55.00K,-0.26%
01/30/2014,150.72,151.37,152.73,150.11,68.64K,-0.50%
01/29/2014,151.48,152.74,152.74,150.5,63.80K,-1.30%
01/28/2014,153.47,152.73,155.45,152.73,42.68K,-0.69%
01/27/2014,154.53,157.27,157.27,154.09,192.06K,-1.81%
01/24/2014,157.38,159.09,159.18,156.36,63.25K,-0.88%
01/23/2014,158.78,159.49,160,158.19,112.09K,0.21%
01/22/2014,158.45,160,161.82,158.27,168.74K,-0.95%
01/21/2014,159.97,161.82,161.82,159.15,181.17K,-1.32%
01/20/2014,162.11,161.82,163.63,159.1,178.53K,0.18%
01/17/2014,161.82,164.07,164.77,161,189.09K,-0.68%
01/16/2014,162.93,165,166.25,162.05,179.30K,-1.04%
01/15/2014,164.64,164,171.36,163.18,3.19M,0.56%
01/13/2014,163.72,165.27,168.09,162.75,473.88K,-0.81%
01/10/2014,165.06,156.41,165.55,156.41,605.11K,4.69%
01/09/2014,157.67,152.73,159.53,151.82,532.40K,3.77%
01/08/2014,151.94,149.09,153.64,149.09,314.71K,2.43%
01/07/2014,148.34,149.07,149.07,147.88,50.38K,0.19%
01/06/2014,148.06,148.23,150.45,147.86,155.98K,-0.56%
01/03/2014,148.9,149.14,150,148.68,64.46K,-0.80%
01/02/2014,150.1,149.59,150.73,149.55,86.13K,0.40%
01/01/2014,149.5,150.72,150.91,149.19,42.02K,-1.31%
12/31/2013,151.48,146.36,153.18,146.36,1.17M,3.36%
12/30/2013,146.55,146.68,148.14,146.36,81.51K,-0.32%
12/27/2013,147.02,147.28,149.09,146.45,135.63K,-0.48%
12/26/2013,147.73,149,149,147.37,142.67K,-0.21%
12/24/2013,148.04,148.32,149.04,147.28,119.35K,-0.68%
12/23/2013,149.05,151.36,151.81,148.64,227.92K,-1.10%
12/20/2013,150.71,150.45,150.99,149.55,119.35K,0.90%
12/19/2013,149.37,148.16,151.59,147.86,503.25K,1.31%
12/18/2013,147.44,147.27,148.63,147.05,1.75M,0.40%
12/17/2013,146.85,148.17,148.27,145.92,751.30K,-0.54%
12/16/2013,147.64,148.23,150,147.18,230.67K,0.13%
12/13/2013,147.45,147.27,147.95,146.87,42.79K,0.10%
12/12/2013,147.31,147.91,147.91,146.82,25.85K,0.47%
12/11/2013,146.62,147.27,148.18,146.36,36.96K,0.10%
12/10/2013,146.47,147.28,148.18,146.36,33.77K,-0.61%
12/09/2013,147.37,147.18,149.09,147.18,28.49K,-0.42%
12/06/2013,147.99,149.45,150.36,147.59,161.26K,-0.12%
12/05/2013,148.17,147.09,148.64,147.05,110.22K,0.42%
12/04/2013,147.55,147.36,149.82,145.91,895.62K,-0.24%
12/03/2013,147.91,148.17,150.45,147.64,123.75K,0.12%
12/02/2013,147.74,146.36,148.64,145.91,354.42K,0.92%
11/29/2013,146.4,145.45,147.18,144.55,195.14K,0.78%
11/28/2013,145.27,144.95,147.27,144.95,189.97K,0.60%
11/27/2013,144.4,145,145.4,143.64,50.16K,-0.79%
11/26/2013,145.55,144.5,146.09,141.91,171.27K,0.77%
11/25/2013,144.44,146.73,147.27,144,100.65K,-1.50%
11/22/2013,146.64,143.64,147.09,143.64,71.50K,1.38%
11/21/2013,144.65,143.82,145.36,142.73,54.34K,-0.03%
11/20/2013,144.69,146.82,147.27,144.09,71.39K,-0.77%
11/19/2013,145.82,146.83,148.45,145.45,62.70K,-0.73%
11/18/2013,146.89,144.68,148.63,142.73,237.27K,1.51%
11/13/2013,144.7,147.27,148.17,143.82,115.72K,-0.31%
11/12/2013,145.15,143.18,148.91,140.91,403.04K,1.38%
11/11/2013,143.18,136.36,143.92,135.82,430.76K,4.46%
11/08/2013,137.07,132.78,137.55,132.77,163.13K,1.05%
11/07/2013,135.65,134.65,137.09,134.65,102.19K,-0.13%
11/06/2013,135.83,134.54,136.36,133.64,175.45K,1.96%
11/05/2013,133.22,130.8,134.55,130.55,103.95K,2.63%
11/04/2013,129.81,132.09,132.09,127.27,109.89K,-1.74%
11/01/2013,132.11,134.55,135.86,131.1,290.95K,-1.70%
10/31/2013,134.39,134.55,135.18,134.09,137.06K,0.52%
10/30/2013,133.69,135,135.23,133.64,16.50K,-0.18%
10/29/2013,133.93,134.28,135.5,133.73,10.23K,-0.51%
10/28/2013,134.62,136.36,136.36,134.09,17.60K,-1.25%
10/25/2013,136.32,135.64,137.04,133.73,191.40K,0.46%
10/24/2013,135.69,138.64,138.64,135,49.28K,-0.40%
10/23/2013,136.24,139.91,140.36,135.45,206.14K,-2.02%
10/22/2013,139.05,133.18,139.91,133.18,316.58K,3.24%
10/21/2013,134.69,135.44,136,133.01,102.52K,1.31%
10/14/2013,132.95,133.74,135.46,132.73,74.69K,-1.14%
10/11/2013,134.48,135.73,136.22,133.73,76.12K,0.05%
10/10/2013,134.41,136.82,137.82,133.23,169.62K,-1.34%
10/09/2013,136.23,136.32,137.05,133.63,388.85K,1.55%
10/08/2013,134.15,129.98,135.27,129.98,170.28K,3.35%
10/07/2013,129.8,130,132.73,129.09,303.71K,-2.04%
10/04/2013,132.5,133.62,137.26,131.82,107.36K,-0.96%
10/03/2013,133.78,136.37,136.82,132.27,69.96K,-1.95%
10/02/2013,136.44,137.27,139.59,135.91,145.31K,-1.10%
10/01/2013,137.96,135,139.09,131.67,869.33K,-0.46%
09/30/2013,138.6,142.27,142.27,138.6,571.45K,-5.00%
09/27/2013,145.89,151.82,153.86,142.88,2.25M,-3.00%
09/26/2013,150.4,153.64,155.45,146.36,657.47K,-1.27%
